ID,Year_Birth,Education,Marital_Status,Income,MntWines,MntFruits,MntGoldProds,NumWebPurchases,NumStorePurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response
1,1998,Master,Married,55111,792,101,131,7,5,0,0,0,0,0,1
2,1988,Basic,Single,57904,791,266,110,7,3,0,0,0,0,1,0
3,1974,Basic,Single,74912,523,109,380,11,17,0,0,0,1,1,1
4,1967,Master,Single,54008,785,264,131,14,8,0,1,1,1,0,1
5,1980,PhD,Single,20060,270,2,19,6,16,1,0,1,1,1,1
6,1998,Master,Married,94666,491,84,393,5,12,0,1,0,0,0,1
7,1978,Basic,Single,103559,207,281,23,8,14,0,0,0,1,0,0
8,1982,Graduation,Married,75337,538,116,226,3,19,1,0,0,0,1,0
9,1970,Graduation,Married,130616,583,220,153,11,16,1,1,1,0,0,1
10,1970,Master,Divorced,33350,59,153,292,0,12,0,1,0,0,0,0
11,1983,Basic,Married,44354,429,152,229,7,15,1,1,0,1,0,1
12,1995,Graduation,Divorced,65186,984,11,468,6,3,1,1,1,1,0,1
13,1999,Basic,Married,48145,656,132,309,6,4,0,1,1,1,0,0
14,1983,Master,Married,54020,604,292,487,14,4,0,0,0,0,0,0
15,1962,Graduation,Married,106123,308,299,358,2,8,1,0,1,0,1,1
16,1981,Basic,Divorced,126667,519,227,404,3,16,0,1,0,1,0,1
17,1961,Graduation,Divorced,95186,590,270,201,9,12,0,0,1,0,1,0
18,1983,Master,Single,105469,26,42,37,8,1,1,0,0,0,1,1
19,1989,Basic,Divorced,40581,685,20,429,14,12,0,0,0,1,0,0
20,1997,Graduation,Divorced,108929,561,106,259,5,18,0,1,0,1,1,1
21,1961,Master,Divorced,43051,198,116,187,14,2,0,0,0,1,1,1
22,1980,Graduation,Divorced,71474,386,123,56,14,9,0,0,1,0,0,0
23,1992,Graduation,Single,111748,348,280,428,4,1,0,0,1,0,0,0
24,1971,PhD,Divorced,145995,959,291,19,2,12,1,1,1,0,0,0
25,1981,PhD,Married,134618,939,202,272,8,18,1,0,1,0,1,1
26,1984,Master,Married,89626,692,50,118,4,16,0,0,0,0,1,1
27,1986,PhD,Divorced,26960,535,270,70,4,13,1,1,0,1,0,1
28,1987,Master,Divorced,55772,827,276,3,13,11,0,1,1,0,0,1
29,1975,PhD,Married,41520,377,140,220,3,11,0,0,1,0,1,0
30,1974,Graduation,Married,69481,898,274,13,13,10,0,0,1,0,1,1
31,1962,Master,Single,56408,915,289,2,3,6,0,1,1,1,1,1
32,1996,Master,Married,114006,557,51,215,11,3,0,1,1,1,1,1
33,1966,Graduation,Married,148496,526,26,228,0,18,1,1,0,1,0,0
34,1980,Master,Divorced,77134,152,156,335,6,0,1,1,0,0,1,1
35,1968,Master,Married,40491,733,238,185,8,2,0,1,0,1,1,1
36,1998,PhD,Single,21341,205,155,54,2,12,1,1,1,1,1,0
37,1977,Master,Married,64623,454,290,499,11,14,0,1,1,1,1,1
38,1963,Basic,Divorced,110327,272,135,387,12,1,1,0,1,0,0,1
39,1984,Graduation,Divorced,20338,893,143,375,14,10,0,1,1,1,0,0
40,1973,PhD,Married,91431,235,105,253,1,3,1,1,0,0,1,1
41,1968,PhD,Divorced,32254,851,157,23,2,18,0,0,0,0,1,1
42,1985,Basic,Single,71860,739,145,161,0,16,0,1,1,1,0,1
43,1961,Graduation,Single,31344,520,1,157,5,2,1,1,0,0,0,0
44,1979,Graduation,Married,21750,677,76,81,10,17,1,0,0,1,1,1
45,1987,PhD,Married,74756,943,131,402,10,7,0,1,1,0,1,1
46,1966,Master,Married,87957,955,89,158,6,18,1,0,1,1,0,0
47,1967,PhD,Divorced,125423,830,262,187,10,4,0,0,1,1,0,0
48,1994,Graduation,Single,78053,725,107,59,10,6,1,0,1,1,0,1
49,1973,Basic,Single,90855,500,73,402,1,7,1,0,1,0,0,1
50,1976,PhD,Divorced,35896,116,38,304,7,4,0,1,1,1,0,1
51,1995,Graduation,Single,75761,385,158,318,13,16,1,0,0,0,0,1
52,1999,PhD,Married,82552,343,70,365,5,4,1,0,0,1,1,0
53,1963,Master,Married,140075,583,240,210,13,3,0,1,1,0,0,1
54,1961,PhD,Married,97454,394,297,405,3,18,1,0,0,0,0,0
55,1965,PhD,Single,146522,63,35,151,4,1,0,0,1,1,0,0
56,1963,Graduation,Married,138681,716,83,108,7,10,0,0,1,1,0,1
57,1988,Graduation,Divorced,110600,720,262,75,13,12,0,0,1,1,1,1
58,1977,Graduation,Divorced,142732,71,171,29,2,14,0,1,1,1,1,0
59,1985,PhD,Single,132153,788,172,313,2,11,0,0,0,1,0,0
60,1993,Master,Divorced,142926,273,46,485,13,10,1,1,1,0,1,1
61,1969,Basic,Divorced,47935,989,140,116,14,6,0,1,0,1,1,0
62,1995,Basic,Single,57641,319,117,414,13,4,0,0,1,1,1,1
63,1973,Graduation,Married,49711,337,276,355,10,16,1,0,1,0,1,1
64,1990,Graduation,Married,90342,365,213,191,3,19,1,0,1,1,1,0
65,1974,PhD,Married,126896,494,219,18,0,8,1,0,0,1,1,0
66,1967,Basic,Single,32182,606,25,431,8,13,0,1,1,0,0,1
67,1973,Graduation,Divorced,107833,165,8,172,7,11,0,1,1,1,0,0
68,1982,Master,Married,76276,543,270,227,7,5,0,1,1,1,0,1
69,1999,Master,Married,39541,10,9,349,13,16,1,0,0,1,0,1
70,1980,Graduation,Single,114457,300,120,182,9,18,0,1,0,0,0,1
71,1975,Graduation,Married,102310,728,124,112,5,18,1,0,0,1,1,0
72,1977,Basic,Single,64813,800,169,182,6,15,0,0,1,0,0,1
73,1983,Basic,Divorced,57198,101,71,480,5,11,1,0,0,1,0,1
74,1985,PhD,Single,28820,424,151,145,8,11,0,0,1,0,1,1
75,1984,Basic,Single,44070,391,207,318,2,19,0,0,0,1,1,1
76,1988,Master,Single,89768,778,48,115,13,5,0,1,0,0,0,1
77,1974,Master,Single,31122,213,153,112,2,3,1,1,1,0,1,1
78,1960,Graduation,Divorced,100559,690,292,250,2,5,1,0,0,0,1,1
79,1984,Basic,Divorced,93543,87,67,475,9,10,0,1,1,0,1,1
80,1966,PhD,Married,103441,552,49,250,2,0,0,0,1,0,1,1
81,1968,Master,Divorced,61786,400,151,302,8,14,0,0,0,0,0,1
82,1983,Master,Divorced,114934,587,18,458,11,10,1,0,1,1,1,1
83,1960,PhD,Married,119804,888,99,312,3,18,0,1,1,1,0,0
84,1967,PhD,Divorced,26737,45,59,117,12,17,0,0,0,0,0,1
85,1983,Master,Single,56062,671,166,300,6,16,0,0,0,0,1,1
86,1970,Master,Single,74237,462,201,160,13,18,0,1,1,0,1,1
87,1976,PhD,Married,71571,591,145,400,14,13,1,1,0,0,1,0
88,1967,Master,Married,45510,309,163,197,8,17,1,1,1,1,0,1
89,1994,Graduation,Married,39426,85,241,259,10,18,0,0,1,0,1,0
90,1994,Graduation,Single,57265,91,68,147,11,14,0,0,0,1,1,1
91,1992,PhD,Divorced,37850,659,174,239,6,14,1,1,0,1,1,1
92,1964,Basic,Single,138249,672,48,46,8,3,1,0,0,0,1,0
93,1998,PhD,Married,86150,713,107,474,11,6,0,1,0,0,1,1
94,1987,PhD,Divorced,107312,935,225,398,2,12,1,1,1,1,0,0
95,1966,Basic,Divorced,109613,927,160,197,14,2,1,0,1,1,1,0
96,1968,Basic,Single,94910,241,118,46,3,15,0,0,0,0,1,1
97,1967,Basic,Married,72375,864,148,77,13,8,1,1,0,0,1,1
98,1971,Graduation,Single,141826,1,149,123,7,7,1,1,1,0,0,1
99,1993,Master,Divorced,55435,224,292,74,5,19,0,1,1,1,1,1
100,1992,Graduation,Single,116443,800,142,358,4,12,0,1,1,1,0,0
101,1982,Master,Single,77132,744,159,136,12,16,1,0,1,0,0,0
102,1983,Graduation,Married,98945,972,10,89,3,16,0,1,0,1,1,1
103,1996,Master,Married,102050,925,137,399,7,16,1,1,1,1,1,0
104,1994,Graduation,Divorced,149828,928,77,324,0,0,0,1,1,0,1,0
105,1999,Basic,Single,115402,588,76,499,13,7,1,0,0,0,0,1
106,1981,PhD,Single,22983,115,253,60,8,18,0,0,1,1,0,0
107,1986,Graduation,Single,117241,665,257,137,0,5,1,1,1,1,0,0
108,1994,Master,Divorced,40662,917,290,49,7,2,1,0,0,0,0,1
109,1960,Basic,Divorced,43510,102,262,258,3,4,1,0,0,0,0,0
110,1994,Graduation,Married,98187,193,84,460,8,12,0,0,0,0,0,1
111,1996,Graduation,Married,60998,165,145,106,13,14,0,1,1,0,1,0
112,1973,Basic,Married,76846,870,41,112,10,13,1,1,1,0,1,1
